Converting PZ into negative
Starting reading in a PZ file
Image is 851 x 315
Description is My Pelicans ! 
263336 runs
Run 1136 has length 1
Run 1137 has length 1
Run 1138 has length 1
Run 1139 has length 1
Run 1140 has length 1
Run 1141 has length 1
Run 1142 has length 1
Run 1143 has length 1
Run 1144 has length 1
Run 1145 has length 1
Run 1146 has length 1
Run 1147 has length 1
Run 1148 has length 1
Run 1149 has length 1
Run 1150 has length 1
Run 1151 has length 1
Run 1152 has length 1
Run 1153 has length 1
Run 1154 has length 1
Run 1155 has length 1
Run 1156 has length 1
Run 1157 has length 1
Run 1158 has length 1
Run 1159 has length 1
Run 1160 has length 1
Run 1161 has length 1
Run 1162 has length 1
Run 1163 has length 1
Run 1164 has length 1
Run 1165 has length 1
Run 1166 has length 1
Run 1167 has length 1
Run 1168 has length 1
Run 1169 has length 1
Run 1170 has length 1
Run 1171 has length 1
Run 1172 has length 1
Run 1173 has length 1
Run 1174 has length 1
Run 1175 has length 1
Run 1176 has length 1
Run 1177 has length 1
Run 1178 has length 1
Run 1179 has length 1
Run 1180 has length 1
Run 1181 has length 1
Run 1182 has length 1
Run 1183 has length 1
Run 1184 has length 1
Run 1185 has length 1
Run 1186 has length 2
Run 1187 has length 1
Run 1188 has length 1
Run 1189 has length 1
Run 1190 has length 1
Run 1191 has length 1
Run 1192 has length 1
Run 1193 has length 1
Run 1194 has length 1
Run 1195 has length 1
Run 1196 has length 1
Run 1197 has length 1
Run 1198 has length 1
Run 1199 has length 1
Run 1200 has length 1
Run 1201 has length 1
Run 1202 has length 1
Run 1203 has length 1
Run 1204 has length 1
Run 1205 has length 1
Run 1206 has length 1
Run 1207 has length 1
Run 1208 has length 1
Run 1209 has length 1
Run 1210 has length 1
Run 1211 has length 1
Run 1212 has length 1
Run 1213 has length 1
Run 1214 has length 1
Run 1215 has length 1
Run 1216 has length 1
Run 1217 has length 1
Run 1218 has length 1
Run 1219 has length 1
Run 1220 has length 1
Run 1221 has length 1
Run 1222 has length 1
Run 1223 has length 1
Run 1224 has length 1
Run 1225 has length 1
Run 1226 has length 1
Run 1227 has length 1
Run 1228 has length 1
Run 1229 has length 1
Run 1230 has length 1
Run 1231 has length 1
Run 1232 has length 1
Run 1233 has length 1
Run 1234 has length 1
Run 1235 has length 1
Run 1236 has length 1
Run 1237 has length 1
Run 1238 has length 1
Run 1239 has length 1
Run 1240 has length 1
Run 1241 has length 1
Run 1242 has length 1
Run 1243 has length 1
Run 1244 has length 1
Run 1245 has length 1
Run 1246 has length 1
Run 1247 has length 1
Run 1248 has length 1
Run 1249 has length 1
Run 1250 has length 1
Run 1251 has length 1
Run 1252 has length 1
Run 1253 has length 1
Run 1254 has length 1
Run 1255 has length 1
Run 1256 has length 1
Run 1257 has length 1
Run 1258 has length 1
Run 1259 has length 1
Run 1260 has length 1
Run 1261 has length 1
Run 1262 has length 1
Run 1263 has length 1
Run 1264 has length 1
Run 1265 has length 1
Run 1266 has length 1
Run 1267 has length 1
Run 1268 has length 1
Run 1269 has length 1
Run 1270 has length 1
Run 1271 has length 1
Run 1272 has length 1
Run 1273 has length 1
Run 1274 has length 1
Run 1275 has length 1
Run 1276 has length 1
Run 1277 has length 1
Run 1278 has length 1
Run 1279 has length 1
Run 1280 has length 1
Run 1281 has length 1
Run 1282 has length 1
Run 1283 has length 1
Run 1284 has length 1
Run 1285 has length 1
Run 1286 has length 1
Run 1287 has length 1
Run 1288 has length 1
Run 1289 has length 1
Run 1290 has length 1
Run 1291 has length 1
Run 1292 has length 1
Run 1293 has length 1
Run 1294 has length 1
Run 1295 has length 1
Run 1296 has length 1
Run 1297 has length 1
Run 1298 has length 1
Run 1299 has length 1
Run 1300 has length 1
Run 1301 has length 1
Run 1302 has length 1
Run 1303 has length 1
Run 1304 has length 1
Run 1305 has length 1
Run 1306 has length 1
Run 1307 has length 1
Run 1308 has length 1
Run 1309 has length 1
Run 1310 has length 1
Run 1311 has length 1
Run 1312 has length 1
Run 1313 has length 1
Run 1314 has length 1
Run 1315 has length 1
Run 1316 has length 1
Run 1317 has length 1
Run 1318 has length 1
Run 1319 has length 1
Run 1320 has length 1
Run 1321 has length 1
Run 1322 has length 1
Run 1323 has length 1
Run 1324 has length 1
Run 1325 has length 1
Run 1326 has length 1
Run 1327 has length 1
Run 1328 has length 1
Run 1329 has length 1
Run 1330 has length 1
Run 1331 has length 1
Run 1332 has length 1
Run 1333 has length 1
Run 1334 has length 1
Run 1335 has length 1
Run 1336 has length 1
Run 1337 has length 1
Run 1338 has length 1
Run 1339 has length 1
Run 1340 has length 1
Run 1341 has length 1
Run 1342 has length 1
Run 1343 has length 1
Run 1344 has length 1
